"StateFIPS","State","CountyFIPS","County","Year","Value","Data Comment",
"01","Alabama","01003","Baldwin","2018","7.1","",
"01","Alabama","01003","Baldwin","2019","7.5","",
"01","Alabama","01027","Clay","2018","7.0","",
"01","Alabama","01027","Clay","2019","7.4","",
"01","Alabama","01033","Colbert","2018","7.5","",
"01","Alabama","01049","DeKalb","2018","7.0","",
"01","Alabama","01049","DeKalb","2019","7.5","",
"01","Alabama","01055","Etowah","2018","7.8","",
"01","Alabama","01055","Etowah","2019","8.3","",
"01","Alabama","01069","Houston","2018","7.7","",
"01","Alabama","01069","Houston","2019","8.1","",
"01","Alabama","01073","Jefferson","2018","10.2","",
"01","Alabama","01073","Jefferson","2019","10.7","",
"01","Alabama","01089","Madison","2018","7.5","",
"01","Alabama","01089","Madison","2019","7.4","",
"01","Alabama","01097","Mobile","2018","8.1","",
"01","Alabama","01097","Mobile","2019","8.3","",
"01","Alabama","01101","Montgomery","2018","8.5","",
"01","Alabama","01101","Montgomery","2019","9.0","",
"01","Alabama","01103","Morgan","2018","7.4","",
"01","Alabama","01103","Morgan","2019","7.6","",
"01","Alabama","01113","Russell","2018","9.4","",
"01","Alabama","01113","Russell","2019","9.5","",
"01","Alabama","01125","Tuscaloosa","2018","7.7","",
"01","Alabama","01125","Tuscaloosa","2019","7.9","",
"02","Alaska","02020","Anchorage","2018","5.4","",
"02","Alaska","02020","Anchorage","2019","8.2","",
"02","Alaska","02090","Fairbanks North Star","2018","11.4","",
"02","Alaska","02090","Fairbanks North Star","2019","15.6","",
"02","Alaska","02110","Juneau","2018","6.9","",
"02","Alaska","02110","Juneau","2019","6.8","",
"02","Alaska","02170","Matanuska-Susitna","2018","4.6","",
"02","Alaska","02170","Matanuska-Susitna","2019","6.6","",
"04","Arizona","04001","Apache","2018","2.6","",
"04","Arizona","04001","Apache","2019","2.5","",
"04","Arizona","04003","Cochise","2018","5.6","",
"04","Arizona","04003","Cochise","2019","5.1","",
"04","Arizona","04012","La Paz","2018","5.1","",
"04","Arizona","04012","La Paz","2019","3.3","",
"04","Arizona","04013","Maricopa","2018","10.1","",
"04","Arizona","04013","Maricopa","2019","8.4","",
"04","Arizona","04019","Pima","2018","5.6","",
"04","Arizona","04019","Pima","2019","3.8","",
"04","Arizona","04021","Pinal","2018","12.7","",
"04","Arizona","04021","Pinal","2019","11.3","",
"04","Arizona","04023","Santa Cruz","2018","8.5","",
"04","Arizona","04023","Santa Cruz","2019","8.8","",
"04","Arizona","04027","Yuma","2018","8.7","",
"04","Arizona","04027","Yuma","2019","7.9","",
"05","Arkansas","05001","Arkansas","2018","8.3","",
"05","Arkansas","05001","Arkansas","2019","7.9","",
"05","Arkansas","05003","Ashley","2018","8.1","",
"05","Arkansas","05003","Ashley","2019","8.2","",
"05","Arkansas","05035","Crittenden","2018","8.8","",
"05","Arkansas","05035","Crittenden","2019","8.3","",
"05","Arkansas","05051","Garland","2018","8.4","",
"05","Arkansas","05051","Garland","2019","8.9","",
"05","Arkansas","05067","Jackson","2018","7.9","",
"05","Arkansas","05067","Jackson","2019","8.2","",
"05","Arkansas","05113","Polk","2018","8.6","",
"05","Arkansas","05113","Polk","2019","8.6","",
"05","Arkansas","05119","Pulaski","2018","9.7","",
"05","Arkansas","05119","Pulaski","2019","10.3","",
"05","Arkansas","05139","Union","2018","8.8","",
"05","Arkansas","05139","Union","2019","9.0","",
"05","Arkansas","05143","Washington","2018","8.4","",
"05","Arkansas","05143","Washington","2019","8.0","",
"06","California","06001","Alameda","2018","14.4","",
"06","California","06001","Alameda","2019","9.4","",
"06","California","06007","Butte","2018","13.7","",
