"StateFIPS","State","CountyFIPS","County","Year","Value","Data Comment","95% Confidence Interval","Confidence Interval Low","Confidence Interval High",
"01","Alabama","01001","Autauga","2018","13.1","","(12.6 - 13.8)","12.6","13.8",
"01","Alabama","01001","Autauga","2019","14.0","","(13.4 - 14.6)","13.4","14.6",
"01","Alabama","01003","Baldwin","2018","15.0","","(14.4 - 15.6)","14.4","15.6",
"01","Alabama","01003","Baldwin","2019","16.5","","(15.9 - 17.2)","15.9","17.2",
"01","Alabama","01005","Barbour","2018","11.1","","(10.6 - 11.6)","10.6","11.6",
"01","Alabama","01005","Barbour","2019","12.4","","(11.9 - 13.0)","11.9","13.0",
"01","Alabama","01007","Bibb","2018","14.1","","(13.4 - 14.7)","13.4","14.7",
"01","Alabama","01007","Bibb","2019","14.6","","(13.9 - 15.3)","13.9","15.3",
"01","Alabama","01009","Blount","2018","13.6","","(12.9 - 14.3)","12.9","14.3",
"01","Alabama","01009","Blount","2019","14.3","","(13.6 - 14.9)","13.6","14.9",
"01","Alabama","01011","Bullock","2018","11.0","","(10.4 - 11.6)","10.4","11.6",
"01","Alabama","01011","Bullock","2019","12.5","","(11.9 - 13.0)","11.9","13.0",
"01","Alabama","01013","Butler","2018","10.7","","(10.2 - 11.1)","10.2","11.1",
"01","Alabama","01013","Butler","2019","11.4","","(11.0 - 12.0)","11.0","12.0",
"01","Alabama","01015","Calhoun","2018","12.2","","(11.6 - 12.7)","11.6","12.7",
"01","Alabama","01015","Calhoun","2019","14.1","","(13.5 - 14.7)","13.5","14.7",
"01","Alabama","01017","Chambers","2018","11.7","","(11.2 - 12.2)","11.2","12.2",
"01","Alabama","01017","Chambers","2019","12.1","","(11.6 - 12.7)","11.6","12.7",
"01","Alabama","01019","Cherokee","2018","12.8","","(12.1 - 13.5)","12.1","13.5",
"01","Alabama","01019","Cherokee","2019","12.9","","(12.2 - 13.6)","12.2","13.6",
"01","Alabama","01021","Chilton","2018","13.1","","(12.5 - 13.8)","12.5","13.8",
"01","Alabama","01021","Chilton","2019","14.0","","(13.4 - 14.6)","13.4","14.6",
"01","Alabama","01023","Choctaw","2018","10.5","","(10.0 - 10.9)","10.0","10.9",
"01","Alabama","01023","Choctaw","2019","11.2","","(10.7 - 11.7)","10.7","11.7",
"01","Alabama","01025","Clarke","2018","11.4","","(11.0 - 11.9)","11.0","11.9",
"01","Alabama","01025","Clarke","2019","11.7","","(11.2 - 12.2)","11.2","12.2",
"01","Alabama","01027","Clay","2018","12.4","","(11.8 - 13.1)","11.8","13.1",
"01","Alabama","01027","Clay","2019","12.8","","(12.2 - 13.4)","12.2","13.4",
"01","Alabama","01029","Cleburne","2018","13.3","","(12.5 - 14.0)","12.5","14.0",
"01","Alabama","01029","Cleburne","2019","13.8","","(13.0 - 14.5)","13.0","14.5",
"01","Alabama","01031","Coffee","2018","13.2","","(12.6 - 13.8)","12.6","13.8",
"01","Alabama","01031","Coffee","2019","14.1","","(13.5 - 14.6)","13.5","14.6",
"01","Alabama","01033","Colbert","2018","13.2","","(12.5 - 13.9)","12.5","13.9",
"01","Alabama","01033","Colbert","2019","13.8","","(13.2 - 14.5)","13.2","14.5",
"01","Alabama","01035","Conecuh","2018","10.5","","(10.0 - 10.9)","10.0","10.9",
"01","Alabama","01035","Conecuh","2019","11.0","","(10.6 - 11.5)","10.6","11.5",
"01","Alabama","01037","Coosa","2018","11.2","","(10.7 - 11.7)","10.7","11.7",
"01","Alabama","01037","Coosa","2019","12.0","","(11.5 - 12.6)","11.5","12.6",
"01","Alabama","01039","Covington","2018","12.5","","(11.9 - 13.2)","11.9","13.2",
"01","Alabama","01039","Covington","2019","12.6","","(12.0 - 13.2)","12.0","13.2",
"01","Alabama","01041","Crenshaw","2018","12.2","","(11.6 - 12.7)","11.6","12.7",
"01","Alabama","01041","Crenshaw","2019","12.9","","(12.3 - 13.4)","12.3","13.4",
"01","Alabama","01043","Cullman","2018","13.5","","(12.8 - 14.3)","12.8","14.3",
"01","Alabama","01043","Cullman","2019","14.8","","(14.0 - 15.5)","14.0","15.5",
"01","Alabama","01045","Dale","2018","13.9","","(13.2 - 14.5)","13.2","14.5",
"01","Alabama","01045","Dale","2019","14.0","","(13.5 - 14.6)","13.5","14.6",
"01","Alabama","01047","Dallas","2018","10.3","","(9.8 - 10.8)","9.8","10.8",
"01","Alabama","01047","Dallas","2019","10.9","","(10.5 - 11.4)","10.5","11.4",
"01","Alabama","01049","DeKalb","2018","12.1","","(11.5 - 12.7)","11.5","12.7",
"01","Alabama","01049","DeKalb","2019","13.2","","(12.7 - 13.9)","12.7","13.9",
"01","Alabama","01051","Elmore","2018","13.5","","(12.9 - 14.1)","12.9","14.1",
"01","Alabama","01051","Elmore","2019","14.7","","(14.1 - 15.3)","14.1","15.3",
"01","Alabama","01053","Escambia","2018","12.8","","(12.3 - 13.4)","12.3","13.4",
"01","Alabama","01053","Escambia","2019","12.7","","(12.1 - 13.2)","12.1","13.2",
"01","Alabama","01055","Etowah","2018","12.7","","(12.1 - 13.3)","12.1","13.3",
"01","Alabama","01055","Etowah","2019","13.2","","(12.6 - 13.8)","12.6","13.8",
"01","Alabama","01057","Fayette","2018","12.4","","(11.8 - 13.1)","11.8","13.1",
"01","Alabama","01057","Fayette","2019","12.8","","(12.2 - 13.6)","12.2","13.6",
"01","Alabama","01059","Franklin","2018","13.3","","(12.7 - 13.9)","12.7","13.9",
"01","Alabama","01059","Franklin","2019","14.1","","(13.5 - 14.8)","13.5","14.8",
"01","Alabama","01061","Geneva","2018","12.7","","(12.0 - 13.3)","12.0","13.3",
"01","Alabama","01061","Geneva","2019","12.9","","(12.2 - 13.5)","12.2","13.5",
"01","Alabama","01063","Greene","2018","8.7","","(8.3 - 9.3)","8.3","9.3",
"01","Alabama","01063","Greene","2019","9.1","","(8.6 - 9.6)","8.6","9.6",
"01","Alabama","01065","Hale","2018","10.2","","(9.7 - 10.7)","9.7","10.7",
"01","Alabama","01065","Hale","2019","11.5","","(11.0 - 12.0)","11.0","12.0",
"01","Alabama","01067","Henry","2018","11.9","","(11.4 - 12.5)","11.4","12.5",
"01","Alabama","01067","Henry","2019","12.8","","(12.2 - 13.3)","12.2","13.3",
"01","Alabama","01069","Houston","2018","11.9","","(11.4 - 12.4)","11.4","12.4",
"01","Alabama","01069","Houston","2019","12.9","","(12.4 - 13.4)","12.4","13.4",
"01","Alabama","01071","Jackson","2018","12.6","","(11.9 - 13.3)","11.9","13.3",
"01","Alabama","01071","Jackson","2019","13.4","","(12.7 - 14.1)","12.7","14.1",
"01","Alabama","01073","Jefferson","2018","14.7","","(14.2 - 15.2)","14.2","15.2",
"01","Alabama","01073","Jefferson","2019","14.5","","(14.0 - 14.9)","14.0","14.9",
"01","Alabama","01075","Lamar","2018","12.0","","(11.3 - 12.7)","11.3","12.7",
"01","Alabama","01075","Lamar","2019","12.8","","(12.2 - 13.5)","12.2","13.5",
"01","Alabama","01077","Lauderdale","2018","13.5","","(12.8 - 14.3)","12.8","14.3",
"01","Alabama","01077","Lauderdale","2019","14.5","","(13.8 - 15.2)","13.8","15.2",
"01","Alabama","01079","Lawrence","2018","12.8","","(12.2 - 13.4)","12.2","13.4",
"01","Alabama","01079","Lawrence","2019","13.4","","(12.8 - 14.0)","12.8","14.0",
"01","Alabama","01081","Lee","2018","16.6","","(15.8 - 17.5)","15.8","17.5",
"01","Alabama","01081","Lee","2019","15.3","","(14.5 - 16.1)","14.5","16.1",
"01","Alabama","01083","Limestone","2018","13.7","","(13.0 - 14.4)","13.0","14.4",
"01","Alabama","01083","Limestone","2019","14.5","","(13.9 - 15.2)","13.9","15.2",
"01","Alabama","01085","Lowndes","2018","9.9","","(9.4 - 10.4)","9.4","10.4",
"01","Alabama","01085","Lowndes","2019","10.2","","(9.7 - 10.6)","9.7","10.6",
"01","Alabama","01087","Macon","2018","9.9","","(9.2 - 10.6)","9.2","10.6",
"01","Alabama","01087","Macon","2019","10.9","","(10.3 - 11.6)","10.3","11.6",
"01","Alabama","01089","Madison","2018","13.5","","(12.9 - 14.0)","12.9","14.0",
"01","Alabama","01089","Madison","2019","15.2","","(14.7 - 15.8)","14.7","15.8",
"01","Alabama","01091","Marengo","2018","10.7","","(10.2 - 11.2)","10.2","11.2",
"01","Alabama","01091","Marengo","2019","11.9","","(11.4 - 12.4)","11.4","12.4",
"01","Alabama","01093","Marion","2018","12.5","","(11.8 - 13.3)","11.8","13.3",
"01","Alabama","01093","Marion","2019","13.5","","(12.8 - 14.3)","12.8","14.3",
"01","Alabama","01095","Marshall","2018","13.0","","(12.3 - 13.7)","12.3","13.7",
"01","Alabama","01095","Marshall","2019","13.2","","(12.6 - 13.8)","12.6","13.8",
"01","Alabama","01097","Mobile","2018","14.8","","(14.3 - 15.4)","14.3","15.4",
"01","Alabama","01097","Mobile","2019","14.1","","(13.6 - 14.6)","13.6","14.6",
"01","Alabama","01099","Monroe","2018","10.6","","(10.1 - 11.0)","10.1","11.0",
"01","Alabama","01099","Monroe","2019","11.8","","(11.4 - 12.3)","11.4","12.3",
"01","Alabama","01101","Montgomery","2018","11.4","","(10.9 - 11.9)","10.9","11.9",
"01","Alabama","01101","Montgomery","2019","13.3","","(12.8 - 13.9)","12.8","13.9",
"01","Alabama","01103","Morgan","2018","12.3","","(11.7 - 13.0)","11.7","13.0",
"01","Alabama","01103","Morgan","2019","13.4","","(12.8 - 13.9)","12.8","13.9",
