"StateFIPS","State","CountyFIPS","County","Start Year","End Year","Value","Data Comment",
"01","Alabama","01001","Autauga","2015","2019","60.6","",
"01","Alabama","01003","Baldwin","2015","2019","67.1","",
"01","Alabama","01005","Barbour","2015","2019","65.5","",
"01","Alabama","01007","Bibb","2015","2019","55.8","",
"01","Alabama","01009","Blount","2015","2019","64.9","",
"01","Alabama","01011","Bullock","2015","2019","58.1","",
"01","Alabama","01013","Butler","2015","2019","68.8","",
"01","Alabama","01015","Calhoun","2015","2019","71.9","",
"01","Alabama","01017","Chambers","2015","2019","60.5","",
"01","Alabama","01019","Cherokee","2015","2019","72.4","",
"01","Alabama","01021","Chilton","2015","2019","57.8","",
"01","Alabama","01023","Choctaw","2015","2019","58.2","",
"01","Alabama","01025","Clarke","2015","2019","60.5","",
"01","Alabama","01027","Clay","2015","2019","71.1","",
"01","Alabama","01029","Cleburne","2015","2019","78.1","",
"01","Alabama","01031","Coffee","2015","2019","70.6","",
"01","Alabama","01033","Colbert","2015","2019","66.7","",
"01","Alabama","01035","Conecuh","2015","2019","69.5","",
"01","Alabama","01037","Coosa","2015","2019","60.2","",
"01","Alabama","01039","Covington","2015","2019","67.2","",
"01","Alabama","01041","Crenshaw","2015","2019","60.6","",
"01","Alabama","01043","Cullman","2015","2019","72.6","",
"01","Alabama","01045","Dale","2015","2019","62.8","",
"01","Alabama","01047","Dallas","2015","2019","62.3","",
"01","Alabama","01049","DeKalb","2015","2019","70.0","",
"01","Alabama","01051","Elmore","2015","2019","61.2","",
"01","Alabama","01053","Escambia","2015","2019","69.6","",
"01","Alabama","01055","Etowah","2015","2019","69.7","",
"01","Alabama","01057","Fayette","2015","2019","66.4","",
"01","Alabama","01059","Franklin","2015","2019","72.7","",
"01","Alabama","01061","Geneva","2015","2019","62.4","",
"01","Alabama","01063","Greene","2015","2019","56.0","",
"01","Alabama","01065","Hale","2015","2019","56.4","",
"01","Alabama","01067","Henry","2015","2019","59.9","",
"01","Alabama","01069","Houston","2015","2019","61.5","",
"01","Alabama","01071","Jackson","2015","2019","62.4","",
"01","Alabama","01073","Jefferson","2015","2019","59.8","",
"01","Alabama","01075","Lamar","2015","2019","72.8","",
"01","Alabama","01077","Lauderdale","2015","2019","70.0","",
"01","Alabama","01079","Lawrence","2015","2019","65.5","",
"01","Alabama","01081","Lee","2015","2019","61.4","",
"01","Alabama","01083","Limestone","2015","2019","60.7","",
"01","Alabama","01085","Lowndes","2015","2019","59.4","",
"01","Alabama","01087","Macon","2015","2019","58.8","",
"01","Alabama","01089","Madison","2015","2019","62.3","",
"01","Alabama","01091","Marengo","2015","2019","55.7","",
"01","Alabama","01093","Marion","2015","2019","78.0","",
"01","Alabama","01095","Marshall","2015","2019","63.2","",
"01","Alabama","01097","Mobile","2015","2019","65.9","",
"01","Alabama","01099","Monroe","2015","2019","64.2","",
"01","Alabama","01101","Montgomery","2015","2019","61.9","",
"01","Alabama","01103","Morgan","2015","2019","62.3","",
"01","Alabama","01105","Perry","2015","2019","60.3","",
"01","Alabama","01107","Pickens","2015","2019","61.1","",
"01","Alabama","01109","Pike","2015","2019","59.4","",
"01","Alabama","01111","Randolph","2015","2019","74.9","",
"01","Alabama","01113","Russell","2015","2019","60.3","",
"01","Alabama","01117","Shelby","2015","2019","58.8","",
"01","Alabama","01115","St. Clair","2015","2019","61.5","",
"01","Alabama","01119","Sumter","2015","2019","56.8","",
"01","Alabama","01121","Talladega","2015","2019","63.9","",
"01","Alabama","01123","Tallapoosa","2015","2019","62.7","",
"01","Alabama","01125","Tuscaloosa","2015","2019","60.3","",
"01","Alabama","01127","Walker","2015","2019","61.7","",
"01","Alabama","01129","Washington","2015","2019","62.7","",
"01","Alabama","01131","Wilcox","2015","2019","58.6","",
"01","Alabama","01133","Winston","2015","2019","73.9","",
"02","Alaska","02013","Aleutians East","2015","2019","82.9","",
"02","Alaska","02016","Aleutians West","2015","2019","65.3","Unstable",
"02","Alaska","02020","Anchorage","2015","2019","54.5","",
"02","Alaska","02050","Bethel","2015","2019","57.5","",
"02","Alaska","02060","Bristol Bay","2015","2019","80.6","",
"02","Alaska","02068","Denali","2015","2019","51.4","",
"02","Alaska","02070","Dillingham","2015","2019","68.5","",
"02","Alaska","02090","Fairbanks North Star","2015","2019","47.2","",
"02","Alaska","02100","Haines","2015","2019","43.8","",
"02","Alaska","02105","HOONAH-ANGOON CENSUS AREA","2015","2019","41.9","",
"02","Alaska","02110","Juneau","2015","2019","43.4","",
"02","Alaska","02122","Kenai Peninsula","2015","2019","54.9","",
"02","Alaska","02130","Ketchikan Gateway","2015","2019","57.9","",
"02","Alaska","02150","Kodiak Island","2015","2019","56.0","",
"02","Alaska","02164","Lake and Peninsula","2015","2019","56.4","",
"02","Alaska","02170","Matanuska-Susitna","2015","2019","54.8","",
"02","Alaska","02180","Nome","2015","2019","75.5","",
"02","Alaska","02185","North Slope","2015","2019","90.5","",
"02","Alaska","02188","Northwest Arctic","2015","2019","88.8","",
"02","Alaska","02195","PETERSBURG CENSUS AREA","2015","2019","41.1","",
"02","Alaska","02198","PRINCE OF WALES-HYDER CENSUS AREA","2015","2019","55.1","",
"02","Alaska","02220","Sitka","2015","2019","39.3","",
"02","Alaska","02230","SKAGWAY MUNICIPALITY","2015","2019","Suppressed","Unstable",
"02","Alaska","02232","Skagway-Hoonah-Angoon","2015","2019","Suppressed","Unstable",
"02","Alaska","02240","Southeast Fairbanks","2015","2019","52.1","",
"02","Alaska","02261","Valdez-Cordova","2015","2019","54.5","",
"02","Alaska","02270","Wade Hampton","2015","2019","70.5","",
"02","Alaska","02275","WRANGELL CITY AND BURROUGH","2015","2019","55.1","",
"02","Alaska","02280","Wrangell-Petersburg","2015","2019","Suppressed","Unstable",
"02","Alaska","02282","Yakutat","2015","2019","58.2","",
"02","Alaska","02290","Yukon-Koyukuk","2015","2019","55.4","",
"04","Arizona","04001","Apache","2015","2019","28.9","",
"04","Arizona","04003","Cochise","2015","2019","43.5","",
"04","Arizona","04005","Coconino","2015","2019","48.4","",
"04","Arizona","04007","Gila","2015","2019","42.6","",
"04","Arizona","04009","Graham","2015","2019","41.8","",
"04","Arizona","04011","Greenlee","2015","2019","39.5","",
"04","Arizona","04012","La Paz","2015","2019","42.7","",
"04","Arizona","04013","Maricopa","2015","2019","43.1","",
"04","Arizona","04015","Mohave","2015","2019","44.7","",
"04","Arizona","04017","Navajo","2015","2019","30.6","",
"04","Arizona","04019","Pima","2015","2019","43.1","",
"04","Arizona","04021","Pinal","2015","2019","43.1","",
"04","Arizona","04023","Santa Cruz","2015","2019","43.3","",
"04","Arizona","04025","Yavapai","2015","2019","44.7","",
"04","Arizona","04027","Yuma","2015","2019","42.9","",
"05","Arkansas","05001","Arkansas","2015","2019","82.9","",
"05","Arkansas","05003","Ashley","2015","2019","77.5","",
"05","Arkansas","05005","Baxter","2015","2019","81.7","",
"05","Arkansas","05007","Benton","2015","2019","62.4","",
"05","Arkansas","05009","Boone","2015","2019","69.0","",
"05","Arkansas","05011","Bradley","2015","2019","80.3","",
"05","Arkansas","05013","Calhoun","2015","2019","82.5","",
"05","Arkansas","05015","Carroll","2015","2019","61.7","",
"05","Arkansas","05017","Chicot","2015","2019","78.3","",
"05","Arkansas","05019","Clark","2015","2019","82.1","",
"05","Arkansas","05021","Clay","2015","2019","94.5","",
"05","Arkansas","05023","Cleburne","2015","2019","76.8","",
"05","Arkansas","05025","Cleveland","2015","2019","87.5","",
"05","Arkansas","05027","Columbia","2015","2019","72.6","",
"05","Arkansas","05029","Conway","2015","2019","77.3","",
"05","Arkansas","05031","Craighead","2015","2019","94.2","",
"05","Arkansas","05033","Crawford","2015","2019","71.1","",
"05","Arkansas","05035","Crittenden","2015","2019","66.6","",
"05","Arkansas","05037","Cross","2015","2019","87.4","",
"05","Arkansas","05039","Dallas","2015","2019","86.9","",
"05","Arkansas","05041","Desha","2015","2019","74.8","",
"05","Arkansas","05043","Drew","2015","2019","81.1","",
"05","Arkansas","05045","Faulkner","2015","2019","71.4","",
"05","Arkansas","05047","Franklin","2015","2019","79.0","",
"05","Arkansas","05049","Fulton","2015","2019","80.0","",
"05","Arkansas","05051","Garland","2015","2019","71.9","",
"05","Arkansas","05053","Grant","2015","2019","70.5","",
"05","Arkansas","05055","Greene","2015","2019","91.5","",
"05","Arkansas","05057","Hempstead","2015","2019","76.7","",
"05","Arkansas","05059","Hot Spring","2015","2019","74.2","",
"05","Arkansas","05061","Howard","2015","2019","67.4","",
"05","Arkansas","05063","Independence","2015","2019","83.7","",
"05","Arkansas","05065","Izard","2015","2019","84.5","",
"05","Arkansas","05067","Jackson","2015","2019","86.2","",
"05","Arkansas","05069","Jefferson","2015","2019","71.9","",
"05","Arkansas","05071","Johnson","2015","2019","82.1","",
"05","Arkansas","05073","Lafayette","2015","2019","70.5","",
"05","Arkansas","05075","Lawrence","2015","2019","89.9","",
"05","Arkansas","05077","Lee","2015","2019","76.8","",
"05","Arkansas","05079","Lincoln","2015","2019","84.8","",
"05","Arkansas","05081","Little River","2015","2019","75.3","",
